date,region,customer_segment,sku,order_quantity,revenue,is_promotional,season
2023-01-01,Northeast,Retail,SKU_123,1765,70600,0,Winter
2023-01-01,West,Wholesale,SKU_456,2450,122500,0,Winter
2023-01-02,Northeast,Retail,SKU_123,1283,51320,1,Winter
2023-01-02,West,Wholesale,SKU_456,4169,208450,1,Winter
2023-01-03,Northeast,Retail,SKU_123,716,28640,0,Winter
2023-01-03,West,Wholesale,SKU_456,3562,178100,0,Winter
2023-01-04,Northeast,Retail,SKU_123,1208,48320,1,Winter
2023-01-04,West,Wholesale,SKU_456,2091,104550,1,Winter
2023-01-05,Northeast,Retail,SKU_123,1240,49600,1,Winter
2023-01-05,West,Wholesale,SKU_456,2062,103100,0,Winter
2023-01-06,Northeast,Retail,SKU_123,1950,78000,0,Winter
2023-01-06,West,Wholesale,SKU_456,2912,145600,0,Winter
2023-01-07,Northeast,Retail,SKU_123,1107,44280,1,Winter
2023-01-07,West,Wholesale,SKU_456,5519,275950,0,Winter
2023-01-08,Northeast,Retail,SKU_123,1497,59880,0,Winter
2023-01-08,West,Wholesale,SKU_456,1244,62200,0,Winter
2023-01-09,Northeast,Retail,SKU_123,1308,52320,1,Winter
2023-01-09,West,Wholesale,SKU_456,2778,138900,0,Winter
2023-01-10,Northeast,Retail,SKU_123,738,29520,0,Winter
2023-01-10,West,Wholesale,SKU_456,2120,106000,0,Winter
2023-01-11,Northeast,Retail,SKU_123,921,36840,0,Winter
2023-01-11,West,Wholesale,SKU_456,3528,176400,0,Winter
2023-01-12,Northeast,Retail,SKU_123,970,38800,0,Winter
2023-01-12,West,Wholesale,SKU_456,4152,207600,0,Winter
2023-01-13,Northeast,Retail,SKU_123,1532,61280,0,Winter
2023-01-13,West,Wholesale,SKU_456,2220,111000,1,Winter
2023-01-14,Northeast,Retail,SKU_123,1229,49160,1,Winter
2023-01-14,West,Wholesale,SKU_456,1257,62850,1,Winter
2023-01-15,Northeast,Retail,SKU_123,1827,73080,1,Winter
2023-01-15,West,Wholesale,SKU_456,2408,120400,0,Winter
2023-01-16,Northeast,Retail,SKU_123,1881,75240,0,Winter
2023-01-16,West,Wholesale,SKU_456,4399,219950,1,Winter
2023-01-17,Northeast,Retail,SKU_123,1475,59000,0,Winter
2023-01-17,West,Wholesale,SKU_456,2357,117850,0,Winter
2023-01-18,Northeast,Retail,SKU_123,1157,46280,0,Winter
2023-01-18,West,Wholesale,SKU_456,3160,158000,0,Winter
2023-01-19,Northeast,Retail,SKU_123,1750,70000,0,Winter
2023-01-19,West,Wholesale,SKU_456,3476,173800,0,Winter
2023-01-20,Northeast,Retail,SKU_123,615,24600,0,Winter
2023-01-20,West,Wholesale,SKU_456,2649,132450,0,Winter
2023-01-21,Northeast,Retail,SKU_123,2025,81000,0,Winter
2023-01-21,West,Wholesale,SKU_456,2971,148550,0,Winter
2023-01-22,Northeast,Retail,SKU_123,1432,57280,0,Winter
2023-01-22,West,Wholesale,SKU_456,4730,236500,0,Winter
2023-01-23,Northeast,Retail,SKU_123,1544,61760,0,Winter
2023-01-23,West,Wholesale,SKU_456,3062,153100,1,Winter
2023-01-24,Northeast,Retail,SKU_123,1977,79080,1,Winter
2023-01-24,West,Wholesale,SKU_456,2571,128550,1,Winter
2023-01-25,Northeast,Retail,SKU_123,502,20080,0,Winter
2023-01-25,West,Wholesale,SKU_456,2182,109100,0,Winter
2023-01-26,Northeast,Retail,SKU_123,2526,101040,0,Winter
2023-01-26,West,Wholesale,SKU_456,4082,204100,0,Winter
2023-01-27,Northeast,Retail,SKU_123,707,28280,0,Winter
2023-01-27,West,Wholesale,SKU_456,4077,203850,0,Winter
2023-01-28,Northeast,Retail,SKU_123,789,31560,0,Winter
2023-01-28,West,Wholesale,SKU_456,3554,177700,0,Winter
2023-01-29,Northeast,Retail,SKU_123,1668,66720,0,Winter
2023-01-29,West,Wholesale,SKU_456,3117,155850,0,Winter
2023-01-30,Northeast,Retail,SKU_123,2145,85800,1,Winter
2023-01-30,West,Wholesale,SKU_456,1195,59750,0,Winter
2023-01-31,Northeast,Retail,SKU_123,658,26320,0,Winter
2023-01-31,West,Wholesale,SKU_456,2900,145000,0,Winter
2023-02-01,Northeast,Retail,SKU_123,1549,61960,1,Winter
2023-02-01,West,Wholesale,SKU_456,3026,151300,1,Winter
2023-02-02,Northeast,Retail,SKU_123,1062,42480,1,Winter
2023-02-02,West,Wholesale,SKU_456,1913,95650,1,Winter
2023-02-03,Northeast,Retail,SKU_123,2021,80840,0,Winter
2023-02-03,West,Wholesale,SKU_456,3221,161050,0,Winter
2023-02-04,Northeast,Retail,SKU_123,1451,58040,1,Winter
2023-02-04,West,Wholesale,SKU_456,2703,135150,0,Winter
2023-02-05,Northeast,Retail,SKU_123,1491,59640,0,Winter
2023-02-05,West,Wholesale,SKU_456,1433,71650,0,Winter
2023-02-06,Northeast,Retail,SKU_123,742,29680,1,Winter
2023-02-06,West,Wholesale,SKU_456,3190,159500,0,Winter
2023-02-07,Northeast,Retail,SKU_123,1567,62680,0,Winter
2023-02-07,West,Wholesale,SKU_456,2660,133000,0,Winter
2023-02-08,Northeast,Retail,SKU_123,2063,82520,0,Winter
2023-02-08,West,Wholesale,SKU_456,3269,163450,0,Winter
2023-02-09,Northeast,Retail,SKU_123,1603,64120,0,Winter
2023-02-09,West,Wholesale,SKU_456,3452,172600,0,Winter
2023-02-10,Northeast,Retail,SKU_123,1812,72480,1,Winter
2023-02-10,West,Wholesale,SKU_456,4032,201600,0,Winter
2023-02-11,Northeast,Retail,SKU_123,1225,49000,1,Winter
2023-02-11,West,Wholesale,SKU_456,3333,166650,0,Winter
2023-02-12,Northeast,Retail,SKU_123,1374,54960,0,Winter
2023-02-12,West,Wholesale,SKU_456,2196,109800,1,Winter
2023-02-13,Northeast,Retail,SKU_123,1261,50440,1,Winter
2023-02-13,West,Wholesale,SKU_456,4281,214050,1,Winter
2023-02-14,Northeast,Retail,SKU_123,1264,50560,0,Winter
2023-02-14,West,Wholesale,SKU_456,2993,149650,0,Winter
2023-02-15,Northeast,Retail,SKU_123,2137,85480,0,Winter
2023-02-15,West,Wholesale,SKU_456,2432,121600,0,Winter
2023-02-16,Northeast,Retail,SKU_123,880,35200,0,Winter
2023-02-16,West,Wholesale,SKU_456,3884,194200,1,Winter
2023-02-17,Northeast,Retail,SKU_123,1292,51680,0,Winter
2023-02-17,West,Wholesale,SKU_456,2230,111500,0,Winter
2023-02-18,Northeast,Retail,SKU_123,1340,53600,1,Winter
2023-02-18,West,Wholesale,SKU_456,4124,206200,0,Winter
2023-02-19,Northeast,Retail,SKU_123,1577,63080,0,Winter
2023-02-19,West,Wholesale,SKU_456,2419,120950,1,Winter
2023-02-20,Northeast,Retail,SKU_123,916,36640,1,Winter
2023-02-20,West,Wholesale,SKU_456,3364,168200,0,Winter
2023-02-21,Northeast,Retail,SKU_123,1394,55760,1,Winter
2023-02-21,West,Wholesale,SKU_456,2840,142000,1,Winter
2023-02-22,Northeast,Retail,SKU_123,1394,55760,0,Winter
2023-02-22,West,Wholesale,SKU_456,3320,166000,0,Winter
2023-02-23,Northeast,Retail,SKU_123,2069,82760,0,Winter
2023-02-23,West,Wholesale,SKU_456,2079,103950,1,Winter
2023-02-24,Northeast,Retail,SKU_123,1278,51120,1,Winter
2023-02-24,West,Wholesale,SKU_456,2009,100450,0,Winter
2023-02-25,Northeast,Retail,SKU_123,1141,45640,0,Winter
2023-02-25,West,Wholesale,SKU_456,3827,191350,0,Winter
2023-02-26,Northeast,Retail,SKU_123,853,34120,0,Winter
2023-02-26,West,Wholesale,SKU_456,2662,133100,1,Winter
2023-02-27,Northeast,Retail,SKU_123,938,37520,1,Winter
2023-02-27,West,Wholesale,SKU_456,2451,122550,0,Winter
2023-02-28,Northeast,Retail,SKU_123,1687,67480,0,Winter
2023-02-28,West,Wholesale,SKU_456,3917,195850,0,Winter
2023-03-01,Northeast,Retail,SKU_123,1702,68080,1,Winter
2023-03-01,West,Wholesale,SKU_456,4479,223950,0,Winter
2023-03-02,Northeast,Retail,SKU_123,411,16440,0,Winter
2023-03-02,West,Wholesale,SKU_456,5150,257500,0,Winter
2023-03-03,Northeast,Retail,SKU_123,680,27200,0,Winter
2023-03-03,West,Wholesale,SKU_456,4340,217000,1,Winter
2023-03-04,Northeast,Retail,SKU_123,1084,43360,0,Winter
2023-03-04,West,Wholesale,SKU_456,5171,258550,0,Winter
2023-03-05,Northeast,Retail,SKU_123,1144,45760,0,Winter
2023-03-05,West,Wholesale,SKU_456,1821,91050,0,Winter
2023-03-06,Northeast,Retail,SKU_123,905,36200,0,Winter
2023-03-06,West,Wholesale,SKU_456,1902,95100,1,Winter
2023-03-07,Northeast,Retail,SKU_123,1304,52160,0,Winter
2023-03-07,West,Wholesale,SKU_456,3108,155400,0,Winter
2023-03-08,Northeast,Retail,SKU_123,1227,49080,0,Winter
2023-03-08,West,Wholesale,SKU_456,4662,233100,0,Winter
2023-03-09,Northeast,Retail,SKU_123,802,32080,0,Winter
2023-03-09,West,Wholesale,SKU_456,3573,178650,0,Winter
2023-03-10,Northeast,Retail,SKU_123,1870,74800,1,Winter
2023-03-10,West,Wholesale,SKU_456,2535,126750,0,Winter
2023-03-11,Northeast,Retail,SKU_123,2839,113560,0,Winter
2023-03-11,West,Wholesale,SKU_456,2851,142550,1,Winter
2023-03-12,Northeast,Retail,SKU_123,2144,85760,0,Winter
2023-03-12,West,Wholesale,SKU_456,3650,182500,1,Winter
2023-03-13,Northeast,Retail,SKU_123,1325,53000,1,Winter
2023-03-13,West,Wholesale,SKU_456,1925,96250,0,Winter
2023-03-14,Northeast,Retail,SKU_123,2649,105960,0,Winter
2023-03-14,West,Wholesale,SKU_456,3000,150000,0,Winter
2023-03-15,Northeast,Retail,SKU_123,1827,73080,1,Winter
2023-03-15,West,Wholesale,SKU_456,1630,81500,0,Winter
2023-03-16,Northeast,Retail,SKU_123,1065,42600,0,Winter
2023-03-16,West,Wholesale,SKU_456,2734,136700,0,Winter
2023-03-17,Northeast,Retail,SKU_123,758,30320,0,Winter
2023-03-17,West,Wholesale,SKU_456,2087,104350,0,Winter
2023-03-18,Northeast,Retail,SKU_123,1230,49200,0,Winter
2023-03-18,West,Wholesale,SKU_456,2694,134700,0,Winter
2023-03-19,Northeast,Retail,SKU_123,1,40,0,Winter
2023-03-19,West,Wholesale,SKU_456,2940,147000,0,Winter
2023-03-20,Northeast,Retail,SKU_123,1063,42520,1,Winter
2023-03-20,West,Wholesale,SKU_456,2384,119200,0,Winter
2023-03-21,Northeast,Retail,SKU_123,1120,44800,0,Winter
2023-03-21,West,Wholesale,SKU_456,2498,124900,1,Winter
2023-03-22,Northeast,Retail,SKU_123,692,27680,0,Winter
2023-03-22,West,Wholesale,SKU_456,3820,191000,0,Winter
2023-03-23,Northeast,Retail,SKU_123,2180,87200,0,Winter
2023-03-23,West,Wholesale,SKU_456,2575,128750,1,Winter
2023-03-24,Northeast,Retail,SKU_123,2305,92200,1,Winter
2023-03-24,West,Wholesale,SKU_456,2868,143400,0,Winter
2023-03-25,Northeast,Retail,SKU_123,980,39200,0,Winter
2023-03-25,West,Wholesale,SKU_456,1130,56500,0,Winter
2023-03-26,Northeast,Retail,SKU_123,1568,62720,0,Winter
2023-03-26,West,Wholesale,SKU_456,3137,156850,0,Winter
2023-03-27,Northeast,Retail,SKU_123,1657,66280,0,Winter
2023-03-27,West,Wholesale,SKU_456,3251,162550,1,Winter
