date,warehouse_id,warehouse_name,warehouse_region,sku,stock_on_hand,safety_stock,reorder_point,inbound_qty,outbound_qty,days_of_supply
2023-01-01,WH_001,Central Warehouse,Midwest,SKU_123,9610,5000,8000,801,1663,5
2023-01-01,WH_002,West Warehouse,California,SKU_456,9197,2000,4000,681,1526,6
2023-01-02,WH_001,Central Warehouse,Midwest,SKU_123,16209,5000,8000,618,2162,7
2023-01-02,WH_002,West Warehouse,California,SKU_456,6678,2000,4000,3509,1179,5
2023-01-03,WH_001,Central Warehouse,Midwest,SKU_123,10406,5000,8000,1450,1442,7
2023-01-03,WH_002,West Warehouse,California,SKU_456,6640,2000,4000,1740,1700,3
2023-01-04,WH_001,Central Warehouse,Midwest,SKU_123,13400,5000,8000,1920,474,28
2023-01-04,WH_002,West Warehouse,California,SKU_456,9370,2000,4000,1892,2466,3
2023-01-05,WH_001,Central Warehouse,Midwest,SKU_123,10711,5000,8000,0,1870,5
2023-01-05,WH_002,West Warehouse,California,SKU_456,9212,2000,4000,789,582,15
2023-01-06,WH_001,Central Warehouse,Midwest,SKU_123,19380,5000,8000,3696,7,2768
2023-01-06,WH_002,West Warehouse,California,SKU_456,6396,2000,4000,3997,1214,5
2023-01-07,WH_001,Central Warehouse,Midwest,SKU_123,12282,5000,8000,1660,827,14
2023-01-07,WH_002,West Warehouse,California,SKU_456,2033,2000,4000,3263,394,5
2023-01-08,WH_001,Central Warehouse,Midwest,SKU_123,14865,5000,8000,3063,629,23
2023-01-08,WH_002,West Warehouse,California,SKU_456,4765,2000,4000,3455,1819,2
2023-01-09,WH_001,Central Warehouse,Midwest,SKU_123,11839,5000,8000,3442,2223,5
2023-01-09,WH_002,West Warehouse,California,SKU_456,8941,2000,4000,919,1251,7
2023-01-10,WH_001,Central Warehouse,Midwest,SKU_123,15002,5000,8000,1773,2063,7
2023-01-10,WH_002,West Warehouse,California,SKU_456,2645,2000,4000,206,1608,1
2023-01-11,WH_001,Central Warehouse,Midwest,SKU_123,12279,5000,8000,1247,439,27
2023-01-11,WH_002,West Warehouse,California,SKU_456,8068,2000,4000,1936,1892,4
2023-01-12,WH_001,Central Warehouse,Midwest,SKU_123,14241,5000,8000,1840,2206,6
2023-01-12,WH_002,West Warehouse,California,SKU_456,3406,2000,4000,2643,497,6
2023-01-13,WH_001,Central Warehouse,Midwest,SKU_123,11065,5000,8000,544,1969,5
2023-01-13,WH_002,West Warehouse,California,SKU_456,7771,2000,4000,1983,835,9
