date,plant_id,plant_name,plant_region,sku,units_produced,production_capacity,capacity_utilization,downtime_hours,cycle_time_hours,defect_rate
2023-01-01,PLANT_A,North Plant,USA,SKU_123,866,1000,0.87,0.94,1.52,0.07
2023-01-01,PLANT_B,South Plant,Mexico,SKU_456,1538,1500,1.03,4.25,1.44,0.08
2023-01-02,PLANT_A,North Plant,USA,SKU_123,1030,1000,1.03,1.1,2.04,0.05
2023-01-02,PLANT_B,South Plant,Mexico,SKU_456,1436,1500,0.96,1.75,2.68,0.02
2023-01-03,PLANT_A,North Plant,USA,SKU_123,765,1000,0.77,4.71,1.82,0.05
2023-01-03,PLANT_B,South Plant,Mexico,SKU_456,1243,1500,0.83,0.28,2.68,0.02
2023-01-04,PLANT_A,North Plant,USA,SKU_123,627,1000,0.63,0.59,2.84,0.04
2023-01-04,PLANT_B,South Plant,Mexico,SKU_456,1388,1500,0.93,2.97,1.47,0.07
2023-01-05,PLANT_A,North Plant,USA,SKU_123,698,1000,0.7,3.12,2.55,0.02
2023-01-05,PLANT_B,South Plant,Mexico,SKU_456,1781,1500,1.19,4.65,3.37,0.07
2023-01-06,PLANT_A,North Plant,USA,SKU_123,878,1000,0.88,1.63,3.14,0.03
2023-01-06,PLANT_B,South Plant,Mexico,SKU_456,1085,1500,0.72,3.26,1.7,0.07
2023-01-07,PLANT_A,North Plant,USA,SKU_123,769,1000,0.77,4.37,3.02,0.02
2023-01-07,PLANT_B,South Plant,Mexico,SKU_456,1606,1500,1.07,0.7,3.21,0.05
2023-01-08,PLANT_A,North Plant,USA,SKU_123,978,1000,0.98,1.95,2.93,0.05
2023-01-08,PLANT_B,South Plant,Mexico,SKU_456,1600,1500,1.07,2.83,1.65,0.06
2023-01-09,PLANT_A,North Plant,USA,SKU_123,1179,1000,1.18,2.96,2.5,0.04
2023-01-09,PLANT_B,South Plant,Mexico,SKU_456,1090,1500,0.73,0.65,1.47,0.05
2023-01-10,PLANT_A,North Plant,USA,SKU_123,1108,1000,1.11,1.5,2.26,0.06
2023-01-10,PLANT_B,South Plant,Mexico,SKU_456,1277,1500,0.85,0.46,2.01,0.02
2023-01-11,PLANT_A,North Plant,USA,SKU_123,1160,1000,1.16,5.23,3.09,0.02
2023-01-11,PLANT_B,South Plant,Mexico,SKU_456,1788,1500,1.19,3.24,3.1,0.07
2023-01-12,PLANT_A,North Plant,USA,SKU_123,969,1000,0.97,2.56,3.12,0.07
2023-01-12,PLANT_B,South Plant,Mexico,SKU_456,1005,1500,0.67,3.06,2.28,0.03
2023-01-13,PLANT_A,North Plant,USA,SKU_123,904,1000,0.9,1.94,2.49,0.06
2023-01-13,PLANT_B,South Plant,Mexico,SKU_456,1480,1500,0.99,5.83,3.42,0.03
2023-01-14,PLANT_A,North Plant,USA,SKU_123,871,1000,0.87,0.22,2.68,0.05
2023-01-14,PLANT_B,South Plant,Mexico,SKU_456,930,1500,0.62,1.67,3.31,0.03
2023-01-15,PLANT_A,North Plant,USA,SKU_123,890,1000,0.89,1.45,2.81,0.06
2023-01-15,PLANT_B,South Plant,Mexico,SKU_456,1274,1500,0.85,4.37,2.17,0.05
2023-01-16,PLANT_A,North Plant,USA,SKU_123,894,1000,0.89,5.01,2.07,0.02
2023-01-16,PLANT_B,South Plant,Mexico,SKU_456,1059,1500,0.71,3.55,2.82,0.01
2023-01-17,PLANT_A,North Plant,USA,SKU_123,1077,1000,1.08,1.05,2.85,0.04
2023-01-17,PLANT_B,South Plant,Mexico,SKU_456,1503,1500,1.0,0.83,2.12,0.02
2023-01-18,PLANT_A,North Plant,USA,SKU_123,1057,1000,1.06,3.96,3.12,0.05
2023-01-18,PLANT_B,South Plant,Mexico,SKU_456,1566,1500,1.04,1.45,1.6,0.07
2023-01-19,PLANT_A,North Plant,USA,SKU_123,927,1000,0.93,2.1,2.92,0.07
2023-01-19,PLANT_B,South Plant,Mexico,SKU_456,1792,1500,1.19,4.68,2.75,0.02
2023-01-20,PLANT_A,North Plant,USA,SKU_123,877,1000,0.88,0.06,1.61,0.06
2023-01-20,PLANT_B,South Plant,Mexico,SKU_456,1151,1500,0.77,0.96,2.55,0.06
2023-01-21,PLANT_A,North Plant,USA,SKU_123,1088,1000,1.09,1.42,2.08,0.06
2023-01-21,PLANT_B,South Plant,Mexico,SKU_456,1385,1500,0.92,5.1,2.78,0.05
2023-01-22,PLANT_A,North Plant,USA,SKU_123,535,1000,0.54,1.46,3.44,0.04
2023-01-22,PLANT_B,South Plant,Mexico,SKU_456,1557,1500,1.04,3.79,3.07,0.05
2023-01-23,PLANT_A,North Plant,USA,SKU_123,831,1000,0.83,4.33,1.99,0.01
2023-01-23,PLANT_B,South Plant,Mexico,SKU_456,1495,1500,1.0,1.06,3.37,0.08
2023-01-24,PLANT_A,North Plant,USA,SKU_123,1085,1000,1.08,5.8,3.42,0.07
2023-01-24,PLANT_B,South Plant,Mexico,SKU_456,1363,1500,0.91,2.31,3.19,0.03
2023-01-25,PLANT_A,North Plant,USA,SKU_123,935,1000,0.94,4.18,2.6,0.02
