date,route_id,origin,destination,carrier_id,carrier_name,transit_time_days,cost,on_time_delivery,mode,distance_km
2023-01-01,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,2461,0,Truck,800
2023-01-01,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,25,8165,0,Ship,12000
2023-01-02,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,6,800,0,Truck,800
2023-01-02,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9913,1,Ship,12000
2023-01-03,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,302,1,Truck,800
2023-01-03,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9398,1,Ship,12000
2023-01-04,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1974,1,Truck,800
2023-01-04,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,8684,1,Ship,12000
2023-01-05,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,2628,1,Truck,800
2023-01-05,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8850,1,Ship,12000
2023-01-06,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,1454,1,Truck,800
2023-01-06,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,9060,1,Ship,12000
2023-01-07,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2329,1,Truck,800
2023-01-07,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,5999,1,Ship,12000
2023-01-08,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,3487,1,Truck,800
2023-01-08,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,5836,1,Ship,12000
2023-01-09,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,10,2176,0,Truck,800
2023-01-09,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,8887,1,Ship,12000
2023-01-10,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1,1,Truck,800
2023-01-10,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,10185,1,Ship,12000
2023-01-11,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,819,1,Truck,800
2023-01-11,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,23,7225,1,Ship,12000
2023-01-12,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,3,2156,1,Truck,800
2023-01-12,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,29,7789,0,Ship,12000
2023-01-13,ROUTE_A,PLANT_A,WH_001,CARR_001,FastShip,4,1,1,Truck,800
2023-01-13,ROUTE_B,SUP001,PLANT_A,CARR_002,OceanFreight,22,9819,1,Ship,12000
